,P3 7p
5BT+10TT+Stannyl+Phenyl,0.0
6BT+7TT+Methyl+Phenyl,0.004678844384209247
5BT+10TT+Stannyl+Br,0.0
6BT+7TT+Br+Methyl,0.0
6BT+6TT+Stannyl+Phenyl,0.0
7BT+3TT+Methyl+Phenyl,0.0
6BT+6TT+Stannyl+Br,0.0
7BT+3TT+Br+Methyl,0.0
7BT+2TT+Stannyl+Phenyl,0.0
7BT+2TT+Stannyl+Br,0.0
6BT+8TT+2H,0.005862597120268594
7BT+4TT+2H,0.0
6BT+8TT+H+Methyl,0.022918671162391366
6BT+7TT+2Phenyl,0.0
6BT+7TT+Br+Phenyl,0.0
6BT+7TT+2Br,0.0
6BT+7TT+Stannyl+H,0.0
7BT+4TT+H+Methyl,0.0
7BT+3TT+2Phenyl,0.0
7BT+3TT+Br+Phenyl,0.0
7BT+3TT+2Br,0.0
7BT+3TT+Stannyl+H,0.0
6BT+8TT+2Methyl,0.016823928706670502
6BT+7TT+Stannyl+Methyl,0.0002986695852631998
7BT+4TT+2Methyl,0.0007374144435009102
5BT+10TT+2Stannyl,0.0015617126310806502
7BT+3TT+Stannyl+Methyl,0.0003351656208948731
6BT+6TT+2Stannyl,0.0009598243707134611
7BT+2TT+2Stannyl,0.0
